REA_Identi,LOTLOTE_ID,TIPO_LOTE,CHIP_RAW,CHIP_FORMATO,CHIP_VALIDADO,CHIP_ASIGNADO,CHIP_USO,CASO_CHIP,CHIP_ALERTA,PCT_GEO,MEJORA,MOTIVO_MEJORA,MATRICULA_INMO,DIRECCION_CATASTRAL,VALOR_TERRENO,VALOR_CONSTRUCCION,VALOR_AVALUO_TOTAL,ESTADO_DEPURADO,LAT_WGS84,LON_WGS84,GMAPS_URL
2002-4-2826,1302006014,Univoco,NO REGISTRA,,,AAA0002LMXS,AAA0002LMXS,CASO9_SIN_CHIP_GEO_98,,100.0,No,,050S00160002,KR 2B 24A 20 SUR,191846.43,0.0,48767362.506,Cierre Administrativo Sin Reasentamiento,4.568659,-74.091262,"https://www.google.com/maps?q=4.568659,-74.091262"
2015-Q20-04104,1318058009,Univoco,AAA0004HPLW,AAA0004HPLW,AAA0004HPLW,,AAA0004HPLW,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40223696,CL 46D SUR 16C 51 ESTE,183958.76,524809.27,61284986.353,En Proceso,4.537446,-74.080829,"https://www.google.com/maps?q=4.537446,-74.080829"
2015-Q20-01513,1318057018,Univoco,AAA0004HXOE,AAA0004HXOE,AAA0004HXOE,,AAA0004HXOE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40000214,CL 46D SUR 16A 45 ESTE,182500.0,0.0,14454000.0,En Proceso,4.538045,-74.08197,"https://www.google.com/maps?q=4.538045,-74.08197"
2015-Q20-04050,1318004011,Univoco,AAA0004HNLW,AAA0004HNLW,AAA0004HNLW,,AAA0004HNLW,CASO2_EXACTO_GEO_OK,,100.0,No,,050S01179725,CL 46G SUR 17 08 ESTE,365574.12,655918.74,186556691.958,En Proceso,4.537083,-74.080807,"https://www.google.com/maps?q=4.537083,-74.080807"
2015-Q20-04085,1318055002,Univoco,NO REGISTRA,,,,,CASO10_GEO_PARCIAL_50_98,,76.8,,,,,,,,En Proceso,4.5384,-74.082695,"https://www.google.com/maps?q=4.5384,-74.082695"
2015-Q20-04094,1318057009,Univoco,NO REGISTRA,,,,,CASO10_GEO_PARCIAL_50_98,,96.6,,,,,,,,Adquisicion predial por IDIGER,4.538046,-74.082097,"https://www.google.com/maps?q=4.538046,-74.082097"
2015-Q20-04061,1318016007,Univoco,AAA0004JJHY,AAA0004JJHY,AAA0004JJHY,,AAA0004JJHY,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40343274,CL 46F SUR 15 60 ESTE,182500.0,248100.0,34982750.0,En Proceso,4.538296,-74.083045,"https://www.google.com/maps?q=4.538296,-74.083045"
2015-Q20-04059,1318016001,Univoco,AAA0004JJAF,AAA0004JJAF,AAA0004JJAF,,AAA0004JJAF,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40338600,CL 46F SUR 15 94 ESTE,182500.0,650557.95,102706733.359,En Proceso,4.538098,-74.082654,"https://www.google.com/maps?q=4.538098,-74.082654"
2015-Q20-01347,1318058016,Lote sin chips en DBF,NO REGISTRA,,,,,CASO11_SIN_CORRESPONDENCIA,CASO11_SIN_CORRESPONDENCIA,,,,,,,,,Reasentamiento Terminado,4.537625,-74.081349,"https://www.google.com/maps?q=4.537625,-74.081349"
2015-Q20-04107,1318058020,Univoco,NO REGISTRA,,,AAA0004HPDM,AAA0004HPDM,CASO9_SIN_CHIP_GEO_98,,100.0,Sí,Propietario poseedor,050S00000000,CL 46D SUR 16C 29 ESTE,182500.0,760802.24,102829343.424,En Proceso,4.537649,-74.081162,"https://www.google.com/maps?q=4.537649,-74.081162"
2018-Q20-16220,1318058013,Multiple_no_identificable,AAA0238NCNN,AAA0238NCNN,AAA0238NCNN,,AAA0238NCNN,CASO2_EXACTO_GEO_OK,,100.0,Sí,CODIGO_TRA contiene MJ; Area terreno cero; Propietario poseedor,050S00000000,CL 46D SUR 16C 31 ESTE MJ 2,183506.13,890142.16,45174714.62,En Proceso,4.537574,-74.081133,"https://www.google.com/maps?q=4.537574,-74.081133"
2015-Q20-04091,1318055010,Univoco,AAA0004JJTO,AAA0004JJTO,AAA0004JJTO,,AAA0004JJTO,CASO2_EXACTO_GEO_OK,,100.0,No,,050S01152343,CL 46D SUR 15 21 ESTE,187600.33,789980.46,184343001.949,En Proceso,4.538659,-74.083391,"https://www.google.com/maps?q=4.538659,-74.083391"
2015-Q20-04090,1318055008,Univoco,AAA0247OXWF,AAA0247OXWF,AAA0247OXWF,,AAA0247OXWF,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40332733,CL 46D SUR 15 43 ESTE,201712.33,712646.26,121164641.569,En Proceso,4.538568,-74.083151,"https://www.google.com/maps?q=4.538568,-74.083151"
2017-Q20-14950,1318010032,Univoco,AAA0004HYDE,AAA0004HYDE,AAA0004HYDE,,AAA0004HYDE,CASO2_EXACTO_GEO_OK,,100.0,No,,050S40361666,KR 16C ESTE 46D 49 SUR IN 2,182500.0,594351.23,36617067.933,En Proceso,4.537633,-74.081878,"https://www.google.com/maps?q=4.537633,-74.081878"
